theta_deg_center,theta_percent_per_1deg_bin,r_formula_no_bg,r_mean_Itot1_bg,r_p05_Itot1_bg,r_p95_Itot1_bg,r_mean_ItotSin2_bg,r_p05_ItotSin2_bg,r_p95_ItotSin2_bg
5.350000000000000000e+01,1.381799999999999917e+00,7.553797738307953535e-01,5.573250803162217437e-01,5.525497808398281974e-01,5.619801758969910077e-01,4.873671704824870665e-01,4.809690477575379597e-01,4.936103462643788298e-01
5.450000000000000000e+01,1.410900000000000043e+00,7.675547491675774880e-01,5.676687877849169173e-01,5.630247434397955830e-01,5.722003234913821679e-01,5.012572621641913084e-01,4.950131051604262922e-01,5.073553670098129853e-01
5.550000000000000000e+01,1.450199999999999934e+00,7.793631782983513334e-01,5.777611513768805551e-01,5.732699676616798135e-01,5.822315857819462259e-01,5.148536804058305716e-01,5.087964460214537965e-01,5.208874046167183414e-01
5.650000000000000000e+01,1.449899999999999967e+00,7.908048910798178843e-01,5.876372124383993922e-01,5.832338562840222451e-01,5.919706167197982261e-01,5.281961357885528452e-01,5.222415152958779228e-01,5.340599028146377769e-01
5.750000000000001421e+01,1.464399999999999924e+00,8.018801521157905565e-01,5.971769999471452373e-01,5.929013704597941858e-01,6.014092308071485871e-01,5.411155129218871984e-01,5.353204324942624215e-01,5.468549119930039559e-01
5.850000000000000000e+01,1.504000000000000004e+00,8.125896108257979478e-01,6.064541125951687928e-01,6.022900877411585530e-01,6.105645351090744910e-01,5.537051013870600835e-01,5.480503253087281035e-01,5.592896538196739931e-01
5.950000000000000000e+01,1.505900000000000016e+00,8.229342546822154825e-01,6.155001243050437498e-01,6.114616292069801062e-01,6.194579655009081476e-01,5.660025190141463325e-01,5.605092290897125684e-01,5.713881837726635382e-01
6.050000000000000000e+01,1.525099999999999900e+00,8.329153655182274241e-01,6.242432045844465982e-01,6.203113027041200489e-01,6.280616107353800270e-01,5.779055171717808470e-01,5.725499600713145343e-01,5.831081265671308467e-01
6.149999999999999289e+01,1.545700000000000074e+00,8.425344787964118565e-01,6.326545556726658193e-01,6.288853699666641095e-01,6.363739759915834071e-01,5.893705626897743910e-01,5.842309723576308844e-01,5.944435805848309329e-01
6.250000000000000711e+01,1.538599999999999968e+00,8.517933457183831658e-01,6.408396767108746062e-01,6.371783332813252265e-01,6.444173902529005682e-01,6.005379715800519547e-01,5.955410314240587866e-01,6.054217398563058739e-01
6.349999999999999289e+01,1.558799999999999963e+00,8.606938980493473723e-01,6.486964696322111701e-01,6.452028484960113941e-01,6.521655961276399127e-01,6.112654816383381595e-01,6.064942099100893991e-01,6.160040088656065782e-01
6.450000000000001421e+01,1.578200000000000047e+00,8.692382155272333488e-01,6.562961009737393603e-01,6.528945647042765366e-01,6.596364228330298118e-01,6.216477421033250739e-01,6.169999070886860171e-01,6.262124180233470394e-01
6.550000000000000000e+01,1.613299999999999956e+00,8.774284957238891458e-01,6.635741473313612193e-01,6.603491829876312336e-01,6.667985257453055148e-01,6.315946421750323614e-01,6.271865611266702611e-01,6.360022176250424986e-01
6.650000000000001421e+01,1.602400000000000047e+00,8.852670262254097588e-01,6.705818133363757871e-01,6.674824916485212478e-01,6.736669145843848794e-01,6.411744539366505125e-01,6.369372428398534236e-01,6.453923637918771439e-01
6.750000000000000000e+01,1.599699999999999900e+00,8.927561589996408919e-01,6.773201582841580359e-01,6.743428523313473866e-01,6.802601672862260695e-01,6.503872705488230599e-01,6.463165300345632414e-01,6.544070329025643007e-01
6.850000000000000000e+01,1.616400000000000059e+00,8.998982868211300445e-01,6.837543291379102328e-01,6.808944697638416033e-01,6.865665546748936920e-01,6.591843690596778105e-01,6.552742874687723651e-01,6.630292440181789759e-01
6.950000000000000000e+01,1.623599999999999932e+00,9.066958216269372928e-01,6.898966249416302876e-01,6.871862583336355579e-01,6.925490687762094755e-01,6.675817573989476506e-01,6.638764713705062048e-01,6.712077072819679913e-01
7.049999999999998579e+01,1.650199999999999889e+00,9.131511746807069452e-01,6.957319647438968691e-01,6.931505496349330553e-01,6.982794277193766774e-01,6.755582425250437062e-01,6.720298914625209008e-01,6.790399797026871465e-01
7.150000000000000000e+01,1.637100000000000000e+00,9.192667384269477271e-01,7.012872441564586001e-01,6.988141362900117670e-01,7.036837108936168095e-01,6.831502128341430113e-01,6.797707265394481446e-01,6.864247278612909398e-01
7.250000000000000000e+01,1.672700000000000076e+00,9.250448699225426452e-01,7.065370952226314172e-01,7.042237448135831857e-01,7.088197488899882215e-01,6.903227922265959826e-01,6.871625469259807772e-01,6.934408379332571704e-01
