source,rod,passes,n,r_min,r_mean,r_std,r_max,ac_lag_r,phi_coverage_frac
bad,rod_x1707_y1342_20260630-173251_1782837171355754200,True,1640,0.0371,0.4086,0.1519,0.7577,26.46,1.000
bad,rod_x1775_y1663_20260630-171354_1782836034405577200,True,1640,0.0023,0.2987,0.1652,0.7746,28.15,1.000
bad,rod_x1781_y1568_20260630-171646_1782836206464633700,True,1640,0.0029,0.4147,0.1906,0.8450,19.17,1.000
bad,rod_x1790_y1161_20260630-173153_1782837113258079100,True,1640,0.0046,0.3366,0.1501,0.7538,11.44,1.000
bad,rod_x1798_y588_20260630-171031_1782835831474333900,True,1640,0.0243,0.4913,0.1829,0.8605,47.08,1.000
bad,rod_x1798_y588_20260630-171041_1782835841767888600,True,1640,0.0148,0.4023,0.1794,0.8067,63.60,1.000
bad,rod_x1822_y296_20260630-171253_1782835973164534900,True,1640,0.0170,0.4339,0.1848,0.8257,54.78,1.000
bad,rod_x1984_y1529_20260630-181511_1782839711810328800,True,1640,0.0191,0.3343,0.1365,0.6808,17.60,1.000
bad,rod_x2035_y1531_20260630-181422_1782839662170189600,True,1640,0.0333,0.4726,0.1645,0.8627,15.57,1.000
bad,rod_x2035_y1531_20260630-181429_1782839669883225500,True,1640,0.0049,0.4155,0.1880,0.8189,36.69,1.000
bad,rod_x2035_y1531_20260630-181438_1782839678007483300,True,1640,0.0145,0.4414,0.1696,0.8444,21.22,1.000
bad,rod_x754_y899_20260617-144658_1781704018588082800,False,5000,0.0103,0.2266,0.0699,0.4779,0.65,0.833
bad,rod_x755_y864_20260617-144711_1781704031025190000,False,5000,0.0175,0.2330,0.0673,0.5009,0.74,0.611
bad,rod_x921_y1452_20260630-172737_1782836857698831000,True,1640,0.0037,0.4062,0.1782,0.8562,49.41,1.000
bad,rod_x994_y1239_20260617-170105_1781712065076086900,True,3000,0.0045,0.6349,0.2367,0.9407,,1.000
