r,theta_deg_center,theta_deg_lo_1sigma,theta_deg_hi_1sigma,theta_deg_std
0.12094099911407713,16.70934683429558,15.873245312893346,17.32165435078846,0.6850475055448565
0.1223406182413046,16.923073491690115,16.08683833864402,17.538137102881567,0.6894562807961084
0.12374023736853206,17.13635993895311,16.302963682390907,17.75415813603922,0.6938657458985055
0.12513985649575954,17.34917148804377,16.520369880663214,17.971061584336223,0.6982906863072236
0.126539475622987,17.561525303017163,16.73734518414898,18.19349853495991,0.7027290663572684
0.12793909475021445,17.773451416132776,16.945620406160504,18.413139984459917,0.7071664076459017
0.12933871387744192,17.984968256900014,17.153183463414173,18.62927980867433,0.7116096661947581
0.1307383330046694,18.196061216876732,17.360392021953476,18.844036447363294,0.7160730577208602
0.13213795213189683,18.40673153817067,17.567114501277487,19.062266579631977,0.7205500945471423
0.1335375712591243,18.616981811162976,17.774551664159823,19.281350007358963,0.7250310619211309
0.13493719038635177,18.82681945805636,17.986934045102135,19.496467966153677,0.7295235647939701
0.13633680951357924,19.03624332251127,18.200394488007756,19.711429705120395,0.7340369743050918
0.1377364286408067,19.245241144410226,18.413629779704884,19.926239544601845,0.7385634454525752
0.13913604776803418,19.45380119013869,18.62080948250019,20.140794761940853,0.7430988593457597
0.14053566689526165,19.661931797471297,18.8264698639419,20.354994948140654,0.7476465470036369
0.14193528602248912,19.8696335149217,19.03647620190163,20.56892293645278,0.7522100667616479
0.14333490514971658,20.076897224005933,19.247330349677345,20.781950656522838,0.7567846376584251
0.14473452427694403,20.283714289225134,19.45344520042694,20.99400949406412,0.7613671134642483
0.1461341434041715,20.490085971262655,19.658480076618012,21.205501022758625,0.7659553241649149
0.14753376253139897,20.696021819803352,19.862857464870757,21.416545733892146,0.7705493971849795
0.1489333816586264,20.90153152328096,20.064549956269445,21.62707938904339,0.7751479015024791
0.15033300078585388,21.1066145906872,20.267121682811197,21.84198082357846,0.7797451583694212
0.15173261991308135,21.311257816663502,20.47002667775063,22.058061734476816,0.7843361849233115
0.15313223904030882,21.515493115860348,20.673914387523084,22.266830542926872,0.7889208203076371
0.15453185816753628,21.71935576009372,20.876516880191986,22.473422319838466,0.7934980552597879
0.15593147729476375,21.922839200286205,21.07531738909918,22.680939388355203,0.7980608576493401
0.15733109642199122,22.125927453114706,21.275626565702158,22.887735265953484,0.802605483869913
0.1587307155492187,22.328676303991458,21.47668625981894,23.094104239643347,0.8071323425564889
0.16013033467644616,22.531141194962835,21.678620046657787,23.299058027392313,0.8116386162493627
0.1615299538036736,22.733289576575494,21.883971601746843,23.503627020056964,0.8161206114909645
0.16292957293090107,22.93512678720071,22.083435822901915,23.709594830954973,0.8205780646370788
0.16432919205812854,23.13671730429961,22.282297073592993,23.924328281384827,0.825010246461588
0.16572881118535598,23.338116301147046,22.48341762565315,24.128543335049745,0.829414504682864
0.16712843031258345,23.539276075180812,22.678956308367,24.33108328649879,0.8337937433658824
0.16852804943981092,23.740220631458463,22.877881592352246,24.53421393187185,0.8381494337442097
0.1699276685670384,23.94100477429356,23.076897034384633,24.73694021610441,0.8424794817339181
0.17132728769426586,24.14166421846122,23.275881451413674,24.946911689623235,0.8467849711995753
0.17272690682149333,24.3421607656788,23.474772202017856,25.16115533079542,0.8510739225868184
0.1741265259487208,24.54251615272507,23.67360596455063,25.374601387272644,0.8553469219401626
0.17552614507594827,24.74276103724781,23.873206188846513,25.58745428915194,0.8596025561023233
0.1769257642031757,24.94290928276405,24.075225923812063,25.80015275262229,0.8638463937229706
0.17832538333040318,25.142944083638067,24.27703931914593,26.006643295622617,0.8680870379013886
0.17972500245763065,25.34286844541846,24.476702493333164,26.20956711601605,0.8723236100812349
0.18112462158485812,25.542686075773105,24.66842486132987,26.41123142461193,0.876557206039566
0.1825242407120856,25.742404338669928,24.862052308192393,26.61248328165371,0.8807953008269258
0.18392385983931306,25.942017768392784,25.0560432189415,26.813337921136483,0.8850428077987061
0.1853234789665405,26.14151261416009,25.252309818432117,27.013778195971426,0.8892994780205931
0.18672309809376797,26.34087654465643,25.448309588403212,27.21378648897997,0.8935684408266285
0.18812271722099544,26.54012057756845,25.640911756092198,27.413367024191906,0.8978546013020008
0.1895223363482229,26.739239589569408,25.836688265919737,27.6125283483987,0.9021591295448023
0.19092195547545038,26.938219302313968,26.029772997715632,27.81126419534648,0.9064833034296897
0.19232157460267785,27.137048286958247,26.22260749174321,28.009565965194703,0.9108302615734543
0.1937211937299053,27.335733564900004,26.41517802093185,28.211570144511636,0.9151996816076222
0.19512081285713276,27.53427650696616,26.606769860951626,28.41423183267122,0.919591869239838
0.19652043198436023,27.7326765057482,26.794146550114117,28.618585324654408,0.9240082875309479
0.1979200511115877,27.93092881444553,26.981187260236425,28.81573730262398,0.9284501552950114
0.19931967023881517,28.12903110461428,27.167881064430738,29.012815228235727,0.9329128748758374
0.20071928936604264,28.326998714250138,27.355699857728247,29.20981280601024,0.9373975915612243
0.20211890849327008,28.524847624016406,27.543383679875497,29.410089375630573,0.9419045932914837
0.20351852762049755,28.72257094455386,27.73077112300391,29.614962699339827,0.9464329691382629
0.20491814674772502,28.920165417929823,27.91784773618411,29.818429952788073,0.9509773650353748
0.20631776587495249,29.117655269530516,28.104646675654315,30.021352680789327,0.9555380796892686
0.20771738500217996,29.31506354241638,28.29364032176238,30.224172325583908,0.9601149974701814
0.20911700412940742,29.51237787620749,28.477704690964373,30.423985408235463,0.9647064670694484
0.21051662325663487,29.709599890828944,28.661247067073102,30.61883825318088,0.9693086496042117
0.21191624238386234,29.9067465600759,28.84453415446504,30.82068302758834,0.9739193266463552
0.2133158615110898,30.10383317290124,29.028484461011793,31.0243969949395,0.9785397114191542
0.21471548063831727,30.300855999866968,29.21229540665264,31.22732165247522,0.9831697286218314
0.21611509976554474,30.497807448523584,29.39591980249381,31.429072033304053,0.9878059511240133
